/*
PREFACE:  
Copyright 2010 Beth Randall
Date:  Fri Jan 14 13:27:46 CET 2022

command file:     verblex_perfect.q
output file:      verblex_perfect.out

Lexicon:  
*/

/*  ~A~  */
foughte 1: [1 VBN] 
foughtyn 3: [3 VBN] 
founde 8: [8 VBN] 
founden 10: [10 VBN] 
foundon 1: [1 VBN] 
foundun 3: [3 VBN] 
fownde 1: [1 VBN] 
fownden 7: [7 VBN] 
fowndon 1: [1 VBN] 
fowndyn 1: [1 VBN] 
fowte 1: [1 VBN] 
fowten 1: [1 VBN] 
fulended 1: [1 VBN] 
fulfild 1: [1 VBN] 
fulfilled 1: [1 VBN] 
fulfullud 2: [2 VBN] 
fulfylled 1: [1 VBN] 
fulfyllyd 1: [1 VBN] 
fult 1: [1 VBN] 
funden 2: [2 VBN] 
fundenn 4: [4 VBN] 
fur-saken 1: [1 VBN] 
fursake 1: [1 VBN] 
fycched 1: [1 VBN] 
/*  ~G~  */
+gatedd 3: [3 VBN] 
+ge+touht 1: [1 VBN] 
+ge-luued 1: [1 VBN] 
+gecumen 1: [1 VBN] 
+gedon 6: [6 DON] 
+gedweld 1: [1 VBN] 
+gefun-den 1: [1 VBN] 
+gegan 1: [1 VBN] 
+gegunnen 1: [1 VBN] 
$+gehafd 1: [1 HVN] 
+geherd 2: [2 VBN] 
+gehote 1: [1 VBN] 
+geigadered 1: [1 VBN] 
+gekydd 1: [1 VBN] 
+geluued 1: [1 VBN] 
+gemaked 2: [2 VBN] 
+genamd 1: [1 VBN] 
+geornedd 2: [2 VBN] 
+ges+ant 1: [1 VBN] 
+gescapen 2: [2 VBN] 
+gespeken 2: [2 VBN] 
+gespused 1: [1 VBN] 
+geue 6: [6 VBN] 
+geuen 5: [5 VBN] 
+gewer+ged 1: [1 VBN] 
+geyfe 1: [1 VBN] 
+gie-don 1: [1 DON] 
+gifenn 3: [3 VBN] 
+giuen 2: [2 VBN] 
+golden 1: [1 VBN] 
+goldyn 1: [1 VBN] 
+gon 1: [1 VBN] 
+goue 5: [5 VBN] 
+gouen 4: [4 VBN] 
+gouon 1: [1 VBN] 
+gouun 4: [4 VBN] 
+gouyn 10: [10 VBN] 
+gyuen 5: [5 VBN] 
gabbe 1: [1 VBN] 
gadered 7: [7 VBN] 
gaderede 1: [1 VBN] 
gaderid 1: [1 VBN] 
gadred 1: [1 VBN] 
gadrede 1: [1 VBN] 
gadrid 1: [1 VBN] 
gan 3: [3 VBN] 
gane 2: [2 VBN] 
gang 1: [1 VBN] 
gart 1: [1 VBN] 
gecoren 1: [1 VBN] 
gederet 1: [1 VBN] 
gedon 2: [2 DON] 
geearnod 1: [1 VBN] 
geffyn 1: [1 VBN] 
gegylt 1: [1 VBN] 
gemynt 1: [1 VBN] 
gemynte 1: [1 VBN] 
gendrid 1: [1 VBN] 
gerte 1: [1 VBN] 
gestogan 1: [1 VBN] 
get 1: [1 VBN] 
gete 3: [3 VBN] 
geten 7: [7 VBN] 
geton 3: [3 VBN] 
gety+ded 1: [1 VBN] 
getyn 4: [4 VBN] 
geuen 3: [3 VBN] 
geven 1: [1 VBN] 
gevyn 1: [1 VBN] 
giarked 1: [1 VBN] 
gifen 1: [1 VBN] 
gifenn 1: [1 VBN] 
gilltedd 1: [1 VBN] 
giuen 1: [1 VBN] 
giuin 1: [1 VBN] 
gladyd 1: [1 VBN] 
go 5: [5 VBN] 
gon 52: [52 VBN] 
gone 21: [21 VBN] 
gonne 1: [1 VBN] 
goo 3: [3 VBN] 
goon 12: [12 VBN] 
gote 2: [2 VBN] 
goten 4: [4 VBN] 
gotyn 4: [4 VBN] 
goue 5: [5 VBN] 
goyn 2: [2 VBN] 
graid 2: [2 VBN] 
grantede 2: [2 VBN] 
graunted 5: [5 VBN] 
grauntid 2: [2 VBN] 
grauntide 2: [2 VBN] 
