/*
PREFACE:  
Copyright 2010 Beth Randall
Date:  Thu Jan 13 14:05:52 CET 2022

command file:     verblex_past.q
output file:      verblex_past.out

Lexicon:  
*/

/*  ~A~  */
$+ateowde +ateowde 2: [2 VBD] 
awayted 2: [2 VBD] 
aweihtest 1: [1 VBD] 
$awende 1: [1 VBD] 
aweorp 1: [1 VBD] 
awoke 3: [3 VBD] 
awondrede 1: [1 VBD] 
awook 3: [3 VBD] 
awooke 1: [1 VBD] 
awrat 4: [4 VBD] 
awt 3: [3 VBD] 
awte 1: [1 VBD] 
awundrede 1: [1 VBD] 
awundreden 1: [1 VBD] 
axed 11: [11 VBD] 
axede 57: [57 VBD] 
axeden 4: [4 VBD] 
axedon 2: [2 VBD] 
axend 1: [1 VBD] 
axide 9: [9 VBD] 
axiden 7: [7 VBD] 
axsede 1: [1 VBD] 
axsedon 1: [1 VBD] 
axsyde 1: [1 VBD] 
axyd 1: [1 VBD] 
ayenesayde 1: [1 VBD] 
ayled 1: [1 VBD] 
azenkte 1: [1 VBD] 
/*  ~B~  */
b+ad 1: [1 VBD] 
b+adenn 1: [1 VBD] 
b+ar 1: [1 VBD] 
b+are 2: [2 VBD] 
b+arenn 1: [1 VBD] 
ba+dede 1: [1 VBD] 
ba+gede 1: [1 VBD] 
baad 2: [2 VBD] 
baar 5: [5 VBD] 
bacbiten 1: [1 VBD] 
bacbitide 1: [1 VBD] 
bad Bad 144: [144 VBD] 
badd Badd 19: [19 VBD] 
badde 8: [8 VBD] 
baddin 1: [1 VBD] 
bade 121: [121 VBD] 
balde 1: [1 VBD] 
band 3: [3 VBD] 
banechid 1: [1 VBD] 
bannyd 4: [4 VBD] 
baptised 1: [1 VBD] 
baptisede 7: [7 VBD] 
baptiside 2: [2 VBD] 
baptized 3: [3 VBD] 
bapty+gede 1: [1 VBD] 
bar 47: [47 VBD] 
bare 110: [110 VBD] 
baren 8: [8 VBD] 
barnde 2: [2 VBD] 
barr 6: [6 VBD] 
barst 3: [3 VBD] 
bathed 3: [3 VBD] 
be 9: [9 VBD21] 
be+dede 1: [1 VBD] 
be+gat 1: [1 VBD] 
be+toght 3: [3 VBD] 
be+tohte 1: [1 VBD] 
be+tou+gte 1: [1 VBD] 
be-cam 1: [1 VBD] 
be-com 1: [1 VBD] 
be-come 4: [4 VBD] 
be-fel 5: [5 VBD] 
be-felle 1: [1 VBD] 
be-gan 12: [12 VBD] 
be-gane 2: [2 VBD] 
be-ganne 16: [16 VBD] 
be-gunne 2: [2 VBD] 
be-halde+t 1: [1 VBD] 
be-hiet 1: [1 VBD] 
be-houede 1: [1 VBD] 
be-hyte 1: [1 VBD] 
be-levyd 1: [1 VBD] 
be-levyde 1: [1 VBD] 
be-sought 1: [1 VBD] 
be-thowt 1: [1 VBD] 
be-toke 1: [1 VBD] 
be-trayde 1: [1 VBD] 
beach 2: [2 VBD] 
bead Bead 4: [4 VBD] 
beah 3: [3 VBD] 
beakede 1: [1 VBD] 
bearnde 5: [5 VBD] 
bearst 4: [4 VBD] 
beb+ad 1: [1 VBD] 
bebead 3: [3 VBD] 
$bebirieden 1: [1 VBD] 
bebyried 1: [1 VBD] 
bebyrigde 2: [2 VBD] 
bebyriged 2: [2 VBD] 
becam 9: [9 VBD] 
became 1: [1 VBD] 
becarcade 1: [1 VBD] 
bech 1: [1 VBD] 
becom 4: [4 VBD] 
become 3: [3 VBD] 
becomen 3: [3 VBD] 
bed 30: [30 VBD] 
bede 7: [7 VBD] 
beden 13: [13 VBD] 
beedon 1: [1 VBD] 
beekneden 1: [1 VBD] 
beeren 2: [2 VBD] 
beet 8: [8 VBD] 
befel 6: [6 VBD] 
befell $befell 12: [12 VBD] 
befelle 11: [11 VBD] 
befellyn 1: [1 VBD] 
befielde 1: [1 VBD] 
beg+at 2: [2 VBD] 
began 78: [78 VBD] 
begane 2: [2 VBD] 
beganne 8: [8 VBD] 
begannest 1: [1 VBD] 
begat 3: [3 VBD] 
begate 8: [8 VBD] 
begatt 1: [1 VBD] 
beggede 2: [2 VBD] 
beggide 1: [1 VBD] 
beggude 1: [1 VBD] 
beggyd 5: [5 VBD] 
beggyde 1: [1 VBD] 
begiled 1: [1 VBD] 
begon 1: [1 VBD] 
begonen 1: [1 VBD] 
begonne 3: [3 VBD] 
begonnen 3: [3 VBD] 
begun 1: [1 VBD] 
begunne 2: [2 VBD] 
begyled 1: [1 VBD] 
begylede 1: [1 VBD] 
behalde 1: [1 VBD] 
behat 1: [1 VBD] 
behatst 1: [1 VBD] 
beheet 1: [1 VBD] 
beheght 1: [1 VBD] 
beheld 7: [7 VBD] 
