/*
PREFACE:  
Copyright 2010 Beth Randall
Date:  Thu Jan 13 15:41:28 CET 2022

command file:     verblex_present.q
output file:      verblex_present.out

Lexicon:  
*/

/*  ~A~  */
awilge+d 3: [3 VBP] 
awilgen 1: [1 VBP] 
awlenc+d 3: [3 VBP] 
aworpe+d 1: [1 VBP] 
awrec+t 1: [1 VBP] 
awrek+t 3: [3 VBP] 
awundre+d 1: [1 VBP] 
awurie+d 1: [1 VBP] 
awwne+t+t 1: [1 VBP] 
axe 5: [5 VBP] 
axe+t 5: [5 VBP] 
axen 9: [9 VBP] 
axet 1: [1 VBP] 
axeth 5: [5 VBP] 
axist 1: [1 VBP] 
axith 2: [2 VBP] 
axse+t 1: [1 VBP] 
axsu+t 2: [2 VBP] 
az 1: [1 HVP] 
/*  ~B~  */
b+are 1: [1 VBP] 
b+arne+t+t 1: [1 VBP] 
bacbite+t 1: [1 VBP] 
bacbiten 2: [2 VBP] 
bad 1: [1 VBP] 
bagbyte+t 1: [1 VBP] 
bakbyte 1: [1 VBP] 
bakesst 1: [1 VBP] 
banne+t 1: [1 VBP] 
baptise 4: [4 VBP] 
baptise+t 1: [1 VBP] 
baptisist 1: [1 VBP] 
baptisith 3: [3 VBP] 
baptizeth 1: [1 VBP] 
bar 2: [2 VBP] 
baren 1: [1 VBP] 
baron 1: [1 VBP] 
bat 1: [1 VBP] 
batereth 1: [1 VBP] 
bathen 1: [1 VBP] 
bay+t 4: [4 VBP] 
be $be BE Be 1972: [1971 BEP] [1 BEP-LFD] 
be+d 104: [104 BEP] 
be+gete Be+gete 2: [2 VBP] 
be+gett 1: [1 VBP] 
be+giet 1: [1 VBP] 
be+giete 1: [1 VBP] 
be+giethst 1: [1 VBP] 
be+t 156: [156 BEP] 
be+te 2: [2 BEP] 
be+teinc+d 1: [1 VBP] 
be+tenche+t 1: [1 VBP] 
be+tencst 1: [1 VBP] 
be+teng+t 3: [3 VBP] 
be+tenke 1: [1 VBP] 
be-+tenke 2: [2 VBP] 
be-charme+t 1: [1 VBP] 
be-com 1: [1 VBP] 
be-come 1: [1 VBP] 
be-deawe+t 1: [1 VBP] 
be-gyle+t 1: [1 VBP] 
be-gyles 1: [1 VBP] 
be-hest 1: [1 VBP] 
be-hoolde 1: [1 VBP] 
be-hote 2: [2 VBP] 
be-houe+t 2: [2 VBP] 
be-houes 1: [1 VBP] 
be-knowest 1: [1 VBP] 
be-leue 2: [2 VBP] 
be-longe+t 1: [1 VBP] 
be-nim+t 1: [1 VBP] 
be-time 1: [1 VBP] 
be-tokne+t 1: [1 VBP] 
be-tokneth 1: [1 VBP] 
be-tokyn 1: [1 VBP] 
be-ula+ge+t 1: [1 VBP] 
bea+d 1: [1 BEP] 
bead 1: [1 VBP] 
beake 1: [1 VBP] 
bealde+d 1: [1 VBP] 
beare 1: [1 VBP] 
bearne+d 3: [2 VBP] [1 VBP22] 
beat 3: [3 VBP] 
beate 2: [2 VBP] 
beate+d 5: [5 VBP] 
beaten 2: [1 VBP-LFD] [1 VBP-RSP] 
beatest 2: [2 VBP] 
beberk+t 1: [1 VBP] 
becharme+t 1: [1 VBP] 
beclep+d 1: [1 VBP] 
beclep+t 2: [2 VBP] 
beclepie+t 1: [1 VBP] 
becleppe 1: [1 VBP] 
becom+t 7: [7 VBP] 
become 1: [1 VBP] 
become+t 3: [3 VBP] 
becomen 3: [3 VBP] 
becometh 4: [4 VBP] 
becommes 1: [1 VBP] 
becum+d 1: [1 VBP] 
becume 2: [2 VBP] 
bed 2: [2 BEP] 
bede+d 2: [2 VBP] 
bedeawe+t 1: [1 VBP] 
bedewe+t 1: [1 VBP] 
bee Bee 8: [8 BEP] 
bee+t 44: [44 BEP] 
bee-leve 1: [1 VBP] 
been 275: [275 BEP] 
befall 1: [1 VBP] 
befalle+t 1: [1 VBP] 
befallen 1: [1 VBP] 
befalles 2: [2 VBP] 
befalleth 2: [2 VBP] 
befallyth 1: [1 VBP] 
befaste+d 1: [1 VBP] 
befele+d 1: [1 VBP] 
befelst 1: [1 VBP] 
begennyth 1: [1 VBP] 
begge 1: [1 VBP] 
begge+t 4: [4 VBP] 
beggon 1: [1 VBP] 
begile 1: [1 VBP] 
begin+t BEGIN+T 6: [6 VBP] 
beginne 2: [2 VBP] 
beginne+d 2: [2 VBP] 
beginne+t 2: [2 VBP] 
beginneth 1: [1 VBP] 
beginni+t 1: [1 VBP] 
beginnith 2: [2 VBP] 
beginyth 1: [1 VBP] 
begyle 1: [1 VBP] 
begyles 1: [1 VBP] 
begyn 4: [4 VBP] 
begyn+t 5: [5 VBP] 
begynn 1: [1 VBP] 
begynne Begynne 5: [5 VBP] 
begynne+t 1: [1 VBP] 
begynnes 4: [4 VBP] 
begynnest 1: [1 VBP] 
begynneth BEGYNNETH 15: [15 VBP] 
begynnyn 1: [1 VBP] 
begynnys 3: [3 VBP] 
begynnyth BEGYNNYTH 8: [8 VBP] 
begynnythe 1: [1 VBP] 
begyns 1: [1 VBP] 
begynyth 1: [1 VBP] 
behat 3: [3 VBP] 
behatst 1: [1 VBP] 
behealdeo+d 1: [1 VBP] 
behestyst 1: [1 VBP] 
behete 1: [1 VBP] 
behofe+d 1: [1 VBP] 
beholde 2: [2 VBP] 
beholde+t 2: [2 VBP] 
beholdeth 3: [3 VBP] 
beholdist 1: [1 VBP] 
beholdith 1: [1 VBP] 
behot 1: [1 VBP] 
behote 2: [2 VBP] 
behote+d 1: [1 VBP] 
behote+t 3: [3 VBP] 
behou+t 1: [1 VBP] 
behoue+d $behoue+d 5: [5 VBP] 
behoue+g 1: [1 VBP] 
behoue+t 29: [29 VBP] 
behoues 4: [4 VBP] 
behoueth 6: [6 VBP] 
behoufes 1: [1 VBP] 
behoui+t 3: [3 VBP] 
behouyth 1: [1 VBP] 
behoves 15: [15 VBP] 
behoveth 1: [1 VBP] 
behovith 1: [1 VBP] 
behovyth 1: [1 VBP] 
behufes 2: [2 VBP] 
bei+d 7: [5 BEP] [2 VBP] 
$bei+ge 1: [1 VBP] 
beie 1: [1 VBP] 
beie+d 3: [3 VBP] 
beirs 1: [1 VBP] 
beke+d 2: [2 VBP] 
beknaust 3: [3 VBP] 
beknawe+t 1: [1 VBP] 
bel+af+d 2: [2 VBP] 
beleeuen 5: [5 VBP] 
beleeven 2: [2 VBP] 
belef+t 2: [2 VBP] 
belem+d 1: [1 VBP] 
beleue Beleue 10: [10 VBP] 
beleuen 4: [4 VBP] 
beleuest 1: [1 VBP] 
beleueth 1: [1 VBP] 
beleuyn 1: [1 VBP] 
beleuyst 4: [4 VBP] 
beleuyth 2: [2 VBP] 
beleve 4: [4 VBP] 
belevyn 1: [1 VBP] 
belieue+d 5: [5 VBP] 
belieuen 1: [1 VBP] 
belimpe 1: [1 VBP] 
belimpe+d 1: [1 VBP] 
beloke+d 1: [1 VBP] 
belokie 1: [1 VBP] 
belonge+t 18: [18 VBP] 
belongeth 3: [3 VBP] 
belouk+t 1: [1 VBP] 
belte 1: [1 VBP] 
belyve 1: [1 VBP] 
bem+an 1: [1 VBP] 
bemane+d 1: [1 VBP] 
bemen 1: [1 VBP] 
ben BEN $ben Ben 2083: [2083 BEP] 
bene 48: [48 BEP] 
benem+d 1: [1 VBP] 
beneme 2: [2 VBP] 
beneme+d 2: [2 VBP] 
benemy+t 1: [1 VBP] 
benim+d 1: [1 VBP] 
benim+t 3: [3 VBP] 
benime 3: [3 VBP] 
benime+t 5: [5 VBP] 
benne 3: [3 BEP] 
benote+t 1: [1 VBP] 
benym+t 6: [6 VBP] 
benyme 1: [1 VBP] 
benyme+t 1: [1 VBP] 
beo $beo Beo 336: [335 BEP] [1 BEP-RSP] 
beo+d $beo+d Beo+d 564: [562 BEP] [2 VBP] 
beo+t 19: [19 BEP] 
beo-houe+t 1: [1 VBP] 
beo-take 1: [1 VBP] 
beod 7: [7 BEP] 
beode 4: [2 VBP22] [2 VBP] 
beode+d $beode+d 3: [3 VBP] 
beode+t+t 1: [1 VBP] 
beolde+t+t 1: [1 VBP] 
beon $beon 77: [77 BEP] 
beore 8: [8 VBP] 
$beore+d beore+d 11: [11 VBP] 
beoren 2: [1 VBP] [1 VBP22] 
beot 8: [7 VBP] [1 BEP] 
beplaiti+d 1: [1 VBP] 
ber 1: [1 VBP] 
ber+afo+d 1: [1 VBP] 
ber+d 9: [5 BEP] [4 VBP] 
ber+t 16: [16 VBP] 
bere 25: [25 VBP] 
bere+d 43: [43 VBP] 
bere+t 11: [11 VBP] 
bere+t+t 4: [4 VBP] 
berege 2: [2 VBP] 
berege+d 2: [2 VBP] 
beren Beren BEREN 34: [33 VBP] [1 VBP22] 
berenn 3: [3 VBP] 
beres 1: [1 VBP] 
beresst 1: [1 VBP] 
berest 5: [5 VBP] 
bereth 23: [23 VBP] 
berged 1: [1 VBP] 
bergen 1: [1 VBP] 
berh+d 1: [1 VBP] 
beri+t 1: [1 VBP] 
beris 2: [2 VBP] 
berist 3: [3 VBP] 
berith 9: [9 VBP] 
berkest 1: [1 VBP] 
bern+t 2: [2 VBP] 
berne 2: [2 VBP] 
berne+d 3: [3 VBP] 
berne+t 2: [2 VBP] 
berobbe+t 1: [1 VBP] 
berst 1: [1 VBP] 
berste 1: [1 VBP] 
berste+d 3: [1 VBP22] [2 VBP] 
beru+t 4: [4 VBP] 
berye 1: [1 VBP] 
beryth 4: [4 VBP] 
bescryde+d 1: [1 VBP] 
bescuf+d 1: [1 VBP] 
besece+d 1: [1 VBP] 
besech 1: [1 VBP] 
beseche 13: [13 VBP] 
beseche+d 1: [1 VBP] 
besek+d 1: [1 VBP] 
beseke 1: [1 VBP] 
beseke+d 2: [2 VBP] 
beseke+t 1: [1 VBP] 
besemeth 1: [1 VBP] 
besemys 1: [1 VBP] 
besemyth 2: [2 VBP] 
besette 1: [1 VBP] 
besieche 1: [1 VBP] 
besieke 2: [2 VBP] 
best 12: [12 BEP] 
beswic+d 2: [2 VBP] 
beswik+d 4: [4 VBP] 
beswike+d 1: [1 VBP] 
bet 4: [4 VBP] 
bet+ache 1: [1 VBP] 
betache 1: [1 VBP] 
betacne+d 4: [4 VBP] 
betacnige+d 2: [2 VBP] 
betake 3: [3 VBP] 
betake+t 2: [2 VBP] 
betakens 1: [1 VBP] 
betakins 2: [2 VBP] 
betakyns 3: [3 VBP] 
bete 14: [14 VBP] 
bete+d 9: [9 VBP] 
bete+t 1: [1 VBP] 
bete+t+t 2: [2 VBP] 
beten 15: [15 VBP] 
beteth 1: [1 VBP] 
beth 16: [16 BEP] 
bethe 1: [1 BEP] 
beti+t 1: [1 VBP] 
betide 1: [1 VBP] 
betockne+t 3: [3 VBP] 
betocne+t 1: [1 VBP] 
betokene+t 1: [1 VBP] 
betokeneth 3: [3 VBP] 
betokeny+gth 1: [1 VBP] 
betokeny+t 2: [2 VBP] 
betokeny+te 1: [1 VBP] 
betokenyth 12: [12 VBP] 
betokne+t 3: [3 VBP] 
