Text_name;sentence;TAM;Origin;Word_length;Transitivity
CMAELR3-M23;45.579;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;45.581;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;45.582;%spl_present;%romance;1%;%transitive
CMAELR3-M23;45.583;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;45.584;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;45.586;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;45.587;%spl_present;%romance;1%;%transitive
CMAELR3-M23;45.587;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;45.588;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;45.589;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;45.591;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;45.595;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;46.608;%spl_present;%germanic;2%;%prep_intransitive
CMAELR3-M23;46.608;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;46.609;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;46.61;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;46.61;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;46.612;%spl_present;%romance;1%;%prep_intransitive
CMAELR3-M23;46.621;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;47.635;%spl_present;%romance;2%;%transitive
CMAELR3-M23;47.646;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;47.649;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;47.656;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;47.657;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;47.659;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;47.661;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;47.661;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;47.662;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;47.663;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;47.672;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;48.674;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;48.676;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;48.682;%spl_present;%romance;2%;%transitive
CMAELR3-M23;48.683;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;48.688;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;48.688;%spl_present;%germanic;1%;%intransitive
